sample,height,width,total_pixels,gt_unique_classes,pred_unique_classes,GT_Background_pixels,GT_Background_pct,Pred_Background_pixels,Pred_Background_pct,GT_Bareland_pixels,GT_Bareland_pct,Pred_Bareland_pixels,Pred_Bareland_pct,GT_Rangeland_pixels,GT_Rangeland_pct,Pred_Rangeland_pixels,Pred_Rangeland_pct,GT_Developed_pixels,GT_Developed_pct,Pred_Developed_pixels,Pred_Developed_pct,GT_Road_pixels,GT_Road_pct,Pred_Road_pixels,Pred_Road_pct,GT_Tree_pixels,GT_Tree_pct,Pred_Tree_pixels,Pred_Tree_pct,GT_Water_pixels,GT_Water_pct,Pred_Water_pixels,Pred_Water_pct,GT_Agriculture_pixels,GT_Agriculture_pct,Pred_Agriculture_pixels,Pred_Agriculture_pct,GT_Building_pixels,GT_Building_pct,Pred_Building_pixels,Pred_Building_pct
aachen_1.tif,1000,1000,1000000,8,7,30,0.003,0,0.0,153141,15.3141,68447,6.8447,43154,4.3153999999999995,34364,3.4364,3947,0.3947,7609,0.7609,43168,4.3168,45091,4.5091,1303,0.1303,1921,0.1921,736298,73.6298,824836,82.4836,18959,1.8959,17732,1.7732,0,0.0,0,0.0
aachen_10.tif,1000,1000,1000000,7,6,0,0.0,0,0.0,86279,8.6279,88509,8.850900000000001,34137,3.4137,13440,1.344,16745,1.6744999999999999,23937,2.3937,83440,8.344,39763,3.9763,205,0.0205,0,0.0,762874,76.2874,815756,81.57560000000001,16320,1.6320000000000001,18595,1.8595000000000002,0,0.0,0,0.0
aachen_12.tif,1000,1000,1000000,8,6,50,0.005,0,0.0,281382,28.1382,297425,29.7425,117113,11.7113,129392,12.939200000000001,67798,6.7798,68683,6.8683,330483,33.048300000000005,279397,27.939700000000002,48,0.0048000000000000004,0,0.0,6892,0.6891999999999999,10162,1.0162,196234,19.6234,214941,21.4941,0,0.0,0,0.0
aachen_13.tif,1000,1000,1000000,7,7,0,0.0,0,0.0,205280,20.528,133527,13.3527,168720,16.872,211570,21.157,59760,5.976,41770,4.1770000000000005,257167,25.7167,320893,32.0893,1037,0.1037,88,0.0088,195800,19.580000000000002,189871,18.9871,112236,11.223600000000001,102281,10.2281,0,0.0,0,0.0
aachen_14.tif,1000,1000,1000000,7,7,0,0.0,0,0.0,310166,31.0166,216076,21.607599999999998,116562,11.6562,157679,15.767900000000001,58015,5.8015,41288,4.1288,170009,17.000899999999998,220543,22.054299999999998,194,0.0194,66,0.006600000000000001,221695,22.1695,203643,20.3643,123359,12.335899999999999,160705,16.0705,0,0.0,0,0.0
aachen_15.tif,1000,1000,1000000,7,7,0,0.0,0,0.0,122711,12.2711,153623,15.362300000000001,101581,10.158100000000001,125596,12.559600000000001,58690,5.869,60049,6.0049,396036,39.6036,412710,41.271,5093,0.5093000000000001,397,0.0397,241297,24.1297,184190,18.419,74592,7.459200000000001,63435,6.343500000000001,0,0.0,0,0.0
aachen_16.tif,1000,1000,1000000,6,6,0,0.0,0,0.0,315833,31.583299999999998,230320,23.032,141054,14.105400000000001,178010,17.801000000000002,92354,9.2354,94529,9.4529,294005,29.4005,304826,30.482599999999998,546,0.0546,0,0.0,0,0.0,21,0.0021,156208,15.620800000000001,192294,19.2294,0,0.0,0,0.0
aachen_18.tif,1000,1000,1000000,6,7,0,0.0,0,0.0,202631,20.2631,205959,20.5959,154983,15.4983,123661,12.3661,52140,5.2139999999999995,69973,6.997299999999999,315025,31.5025,327839,32.7839,0,0.0,1293,0.1293,106253,10.6253,94540,9.454,168968,16.8968,176735,17.6735,0,0.0,0,0.0
aachen_19.tif,1000,1000,1000000,5,6,0,0.0,0,0.0,314631,31.4631,130150,13.014999999999999,192997,19.2997,299701,29.9701,126049,12.604899999999999,62490,6.249,107687,10.7687,220865,22.0865,0,0.0,0,0.0,0,0.0,1067,0.1067,258636,25.863599999999998,285727,28.5727,0,0.0,0,0.0
aachen_2.tif,1000,1000,1000000,7,7,0,0.0,0,0.0,158666,15.8666,135903,13.5903,13897,1.3897,18522,1.8522,12695,1.2695,2252,0.2252,130779,13.077900000000001,155654,15.565399999999999,3809,0.3809,570,0.056999999999999995,658457,65.8457,679886,67.9886,21697,2.1697,7213,0.7212999999999999,0,0.0,0,0.0
